ship_id,improvement_h,improvement_perc,time_in_queue,time_in_service,time_in_storm,loops
1,39.28333333333626,9.386242451583435,609.3207988415217,5943.94999999999,0.0,100
2,44.16666666666595,10.003099860372181,575.4921972351426,5687.299999999998,0.0,95
3,17.75000000000105,7.929221544379398,782.7458600725424,9245.600000000008,2649.954973288937,155
4,14.03333333333319,1.4515864540956274,279.4500000000013,2297.083333333328,4512.895112587867,40
5,34.45000000000027,4.059677830707913,291.46666666666533,3127.91666666666,1732.1277470405407,48
6,29.566666666670926,5.072957820233004,336.94401157997316,4690.500000000023,0.0,71
7,85.15000000000782,4.416707205639517,632.3615467158952,6021.34999999998,0.0,48
8,142.08798224735142,9.31997630148743,789.7170592660491,7299.3833333333405,1223.056141517971,58
9,61.26666666668643,1.8740919260481554,246.9999999999971,3244.2500000000146,3610.3160900702933,27
10,221.25000000000136,8.005712831426466,141.71666666666658,4534.1500000000015,2503.894377299725,36
11,49.88333333333685,1.4550645291357014,296.90236745422914,3173.51666666667,3159.026578811507,25
12,66.66666666666242,2.142760534715905,216.21666666667272,3309.1833333333493,1484.680926034749,29
13,132.8333333333385,5.938475726465507,420.99085676617517,5275.283333333351,0.0,41
14,282.83333333332484,7.232723477858594,1034.9701854014313,10499.783333333342,815.3707610119806,33
15,322.3666666666504,5.842183975109802,1105.9833333333445,7002.5166666666755,1848.762175787943,24
16,268.8634350798966,3.7173271827474985,886.7000000000066,5915.233333333335,902.5790225175733,19
17,385.65926091884285,5.637532153809241,765.2166666666726,5896.383333333342,3610.3160900702937,18
18,411.34999999998763,6.715409123841211,503.9301811432597,6865.100000000022,1106.4217127705685,22
19,780.8683900398446,11.544716481555412,662.8999999999869,6893.649999999979,989.7872840231662,20
20,530.6166666666595,10.345245356267666,968.9311923630125,8848.716666666653,0.0,26
21,241.93333333333976,7.223579894535678,893.9471546421182,7825.049999999996,902.5790225175733,30
22,236.90000000001237,6.068614799655403,1083.1333333333373,7881.583333333347,655.1322015117819,30
